Abb,Name,Epoch_MJD,SemMajAxis_AU,Ecc_,Incl_deg,LongAscNode_deg,ArgP_deg,MeanAnom_deg,AbsMag_,SlopeParamG_,Aphel_AU,Perihel_AU,NEOClass
Bennu,101955,59000.0,1.12590791866781,0.203690880526369,6.03413493606636,2.0073160459639,66.3378414065281,57.6007687949117,20.64,0.15,1.35524509401287,0.896570743322751,Apollo
Didymous,65803,60600.0,1.64259976140734,0.383251161082194,3.41417459801425,72.9859390758235,319.602700791966,339.929961479886,18.12,0.15,2.27212802716004,1.01307149565464,Apollo
Stein,2867,60600.5,2.365208993973021,0.1455164445768185,9.929375137470117,55.33347401848026,251.3574059623025,112.7677797273789,13.17,0.15,2.02103219049000,2.02103219049000,Other
67P,10000012,52520.5,3.462249489765068,0.6409081306555051,7.040294906760007,50.13557380441372,12.79824973415729,8.859927418758764,12.9,0.15,5.681233338113374,1.243265641416762,Other
